pid,age,des1,des1seen,des1name,des2,des2seen,des2name,des3,des3seen,des3name,des4,des4seen,des4name,des5,des5seen,des5name,des6,des6seen,des6name,des7,des7seen,des7name,des8,des8seen,des8name,des9,des9seen,des9name,des10,des10seen,des10name,des11,des11seen,des11name,des12,des12seen,des12name,des13,des13seen,des13name,des14,des14seen,des14name,des15,des15seen,des15name,des16,des16seen,des17,des17seen,des18
ind33,54,"Manulua, yes",y,manulua,"tokelau feletoa, yes seen",y,tokelau feletoa,"no, yes seen",y,no,"no, yes seen",y,no,"no, no",n,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, no",n,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, yes seen tapa",y,no,"no, no",n,no,"no, yes seen",y,no,"no, no",n,no,"no, yes seen",y,no,"no, no",n,,,
ind34,25,"Manulua, yes",y,manulua,"no, yes seen",y,no,"no, no",n,no,"no, no",n,no,"no, yes seen in samoa",y,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, no",n,no,"no, yes seen tattoo",y,no,"no, yes seen mat",y,no,"no, no",n,no,"no, yes seen natu",y,no,"no, yes seen natu",y,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, yes seen tattoo",y,,,
ind35,38,"Manulua, yes",y,manulua,"tokelau feletoa, yes seen",y,tokelau feletoa,"no, goes with fig 1for spacing",y,no,"no, goes with fig 1for spacing",y,no,"no, yes seen cloth",y,no,"manua, yes seen tattoo",y,no,"no, yes seen on natu",y,no,"no, no",n,no,"no, yes seen, hard to draw so special",y,no,"no, yes seen tapa",y,no,"no, yes seen",y,no,"no, yes seen tapa clothing",y,no,"manulua, yes seen",y,manulua,"fatatonga, yes seen",y,no,"no, no",n,no,"no, yes seen on tapa",y,,,
ind36,32,"no, yes seen market ",y,no,"tokelau feletoa, yes seen",y,tokelau feletoa,"no, yes seen",y,no,"no, no",n,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, no",n,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, no",n,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, no",n,no,"no, yes seen",y,,,
ind37,79,"yes, yes seen on natu",y,no,"manulua, yes seen",y,manulua,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, yes seen natu",y,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, yes seen natu",y,no,"no, yes seen natu",y,no,"no, yes seen tattoo",y,no,"no, no",n,"no, no",n,
ind38,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,
ind39,67,"Manulua, yes seen",y,manulua,"tokelau feletoa, yes seen",y,tokelau feletoa,"no, yes seen",y,no,"no, design for tokalau feletoa",y,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, no",n,no,"no, yes seen natu",y,no,"no, yes natu",y,no,"no, yes seen tattoo and natu",y,no,"fohea, yes seen",y,fo'i hea,"manulua, yes seen",y,manulua,"no, yes seen decoration",y,no,"no, yes seen",y,no,"no, yes seen decoration",y,"no, yess seen natu",y,
ind40,37,"no, seen yes",y,no,"no, seen yes",y,no,"no, seen yes",y,no,"no, no",n,no,"no, no",n,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, no",n,no,"no, no",n,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, yes seen",y,"no, no",n,
ind41,79,"no, yes seen natu",y,no,"no, yes seen natu",y,no,"no, yes seen natu",y,no,"no, yes seen natu",y,no,"no, yes seen natu",y,no,"no, yes seen natu",y,no,"no, yes seen natu",y,no,"no, no",n,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, no",n,no,"no, yes seen",y,no,"no, yes seen necklace",y,no,"no, no",n,no,"no, yes seen necklace",y,no,"no, no",n,"no, no",n,
ind42,75,"Manulua, yes seen",y,manulua,"tokelau feletoa, yes seen",y,tokelau feletoa,"no, no",n,no,"mata'hehefi, yes seen",y,mata'hehefi,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,,,,,,,,,,,,,,,no,,,,,,,,,,,
ind43,86,"no, yes seen natu",y,no,"tokelau feletoa, yes seen",y,tokelau feletoa,"no, yes seen",y,no,"no, yes seen",y,no,"no, no",n,no,"no, no",n,no,"no, yes seen",y,no,"no, no",n,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, yes seen",y,"no, yes seen",y,
ind44,21,"no, yes seen",y,no,"no, yes seen school",y,no,"no, yes seen natu",y,no,"no, yes seen house",y,no,"no, yes seen house",y,no,"no, yes seen house",y,no,"no, yes seen house lava lava",y,no,"no, no",n,no,"no, yes seen youth house",y,no,"no, yes seen",y,no,"no, yes seen tattoo",y,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, yes seen",y,"no, yes seen",y,
ind45,46,"no, yes seen",y,no,"tokelau feletoa, yes seen",y,tokelau feletoa,"no, yes seen natu edges",y,no,"no, no",n,no,"no, no",n,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, no",n,no,"no, yes seen",y,no,"no, yes seen natu",y,no,"no, yes seen high status necklace",y,no,"no, no",n,no,"no, yes seen",y,no,"no, yes seen natu",y,no,"no, yes seen natu",y,no,"no, no",n,"no, no",n,
ind46,65,"Manulua, yes seen",y,manulua,"no, yes seen",y,no,not tongan,n,no,not tongan,n,no,"no, no",n,no,"no, yes seen tapa",y,no,"no, yes seen tapa",y,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,not tongan,n,no,"no, decoration",y,no,"manulua, yes seen",y,manulua,"no, yes seen",y,no,"no, no",n,no,"no, no",n,"no, no",n,
ind47,19,"no, yes seen ",y,no,"no, yes seen",y,no,"no, yes seen school",y,no,"no, yes seen school",y,no,"no, no",n,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, no",n,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, no",n,no,"no, no",n,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, no",n,"no, no",n,
ind48,59,"Manulua, yes seen",y,manulua,"tokelau feletoa, yes seen",y,tokelau feletoa,"no, no",y,no,"no, yes seen new design",y,no,"no, yes seen new introduction",y,no,"no, no name yes seen",y,no,"no, no",n,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, no",n,no,"no, no",n,no,"manulua, yes seen",y,manulua,"no, no",n,no,"no, no",n,no,"no, no",n,"no, no",n,
ind49,40,"no, yes seen at school",y,no,"no, yes seen at school",y,no,"no, yes seen at school",y,no,"no, no",n,no,"no, no",n,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, no",n,no,"no, yes seen",y,no,"no, yes seen natu",y,no,"no, no",n,no,"no, no",n,no,"no, yes seen ",y,no,"no, no",n,no,"no, no",n,no,"no, no",n,"no, yes seen",y,
ind50,22,"Manulua, yes seen",y,manulua,"no, yes seen",y,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, yes seen",y,no,"no, no",n,no,"no, no",n,no,"no, yes seen",y,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,"no, no",n,
ind51,23,"no, yes seen",y,no,"no, yes seen",y,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, yes seen",y,no,"no, no",n,no,"no, yes seen",y,no,"no, no",n,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, no",n,no,"no, yes seen",y,no,"no, no",n,no,"no, no",n,"no, no",n,
ind52,18,"no, yes seen natu",y,no,"no, yes seen natu",y,no,"no, yes seen natu",y,no,"no, yes seen natu",y,no,"no, no",n,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, no",n,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, no",n,no,"no, no",n,no,"no, no",n,"no, no",n,
